Chn,Identifier,DLC,D0,D1,D2,D3,D4,D5,D6,D7,Time,Dir
0,191,8,0,0,0,0,0,0,0,0,0,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.00204,R
0,1C3,8,DE,59,7,0,0,0,0,0,0.0023,R
0,199,8,0,0,0,0,0,0,0,FF,0.00494,R
0,F9,8,0,0,0,0,0,0,FF,0,0.0052,R
0,C9,8,EC,59,7,0,0,0,0,0,0.00972,R
0,191,8,0,0,0,0,0,0,0,0,0.00998,R
0,121,4,2,0,0,0,,,,,0.01186,R
0,199,8,0,0,0,0,0,0,0,FF,0.01757,R
0,F9,8,0,0,0,0,0,0,FF,0,0.01774,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.018,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.01826,R
0,C9,8,FB,59,7,0,0,0,0,0,0.01971,R
0,191,8,0,0,0,0,0,0,0,0,0.01996,R
0,2C3,8,2D,5A,7,0,0,0,0,0,0.02022,R
0,3C1,8,91,5A,7,0,0,0,0,0,0.02048,R
0,3D1,8,59,5B,7,0,0,0,0,0,0.02073,R
0,3E9,8,F5,5A,7,0,0,0,0,0,0.02099,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.02542,R
0,1C3,8,98,5A,7,0,0,0,0,0,0.02568,R
0,C9,8,A5,5A,7,0,0,0,0,0,0.02978,R
0,191,8,0,0,0,0,0,0,0,0,0.02995,R
0,199,8,0,0,0,0,0,0,0,FF,0.03054,R
0,F9,8,0,0,0,0,0,0,FF,0,0.0308,R
0,C9,8,B4,5A,7,0,0,0,0,0,0.03976,R
0,191,8,0,0,0,0,0,0,0,0,0.04002,R
0,199,8,0,0,0,0,0,0,0,FF,0.04317,R
0,F9,8,0,0,0,0,0,0,FF,0,0.04343,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.0436,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.04386,R
0,C9,8,C3,5A,7,0,0,0,0,0,0.04974,R
0,191,8,0,0,0,0,0,0,0,0,0.05,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.05026,R
0,1C3,8,C8,5A,7,0,0,0,0,0,0.05051,R
0,199,8,0,0,0,0,0,0,0,FF,0.05614,R
0,F9,8,0,0,0,0,0,0,FF,0,0.0564,R
0,C9,8,D7,5A,7,0,0,0,0,0,0.05973,R
0,191,8,0,0,0,0,0,0,0,0,0.05998,R
0,199,8,0,0,0,0,0,0,0,FF,0.06877,R
0,F9,8,0,0,0,0,0,0,FF,0,0.06903,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.0692,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.06946,R
0,C9,8,E6,5A,7,0,0,0,0,0,0.06971,R
0,191,8,0,0,0,0,0,0,0,0,0.06997,R
0,2C3,8,18,5B,7,0,0,0,0,0,0.07022,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.0721,R
0,1C3,8,1E,5B,7,0,0,0,0,0,0.07227,R
0,C9,8,2C,5B,7,0,0,0,0,0,0.07978,R
0,191,8,0,0,0,0,0,0,0,0,0.07995,R
0,199,8,0,0,0,0,0,0,0,FF,0.08174,R
0,F9,8,0,0,0,0,0,0,FF,0,0.082,R
0,C9,8,3B,5B,7,0,0,0,0,0,0.08977,R
0,191,8,0,0,0,0,0,0,0,0,0.09002,R
0,121,4,2,0,0,0,,,,,0.0919,R
0,199,8,0,0,0,0,0,0,0,FF,0.09437,R
0,F9,8,0,0,0,0,0,0,FF,0,0.09463,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.09489,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.09506,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.0954,R
0,1C3,8,42,5B,7,0,0,0,0,0,0.09565,R
0,C9,8,4F,5B,7,0,0,0,0,0,0.09975,R
0,191,8,0,0,0,0,0,0,0,0,0.10001,R
0,199,8,0,0,0,0,0,0,0,FF,0.10734,R
0,F9,8,0,0,0,0,0,0,FF,0,0.1076,R
0,C9,8,5E,5B,7,0,0,0,0,0,0.10973,R
0,191,8,0,0,0,0,0,0,0,0,0.10999,R
0,C9,8,6D,5B,7,0,0,0,0,0,0.11972,R
0,191,8,0,0,0,0,0,0,0,0,0.11997,R
0,F9,8,0,0,0,0,0,0,FF,0,0.12023,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.12049,R
0,199,8,0,0,0,0,0,0,0,FF,0.12074,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.121,R
0,1C3,8,72,5B,7,0,0,0,0,0,0.12125,R
0,2C3,8,A4,5B,7,0,0,0,0,0,0.12142,R
0,3C1,8,8,5C,7,0,0,0,0,0,0.12168,R
0,3D1,8,D0,5C,7,0,0,0,0,0,0.12194,R
0,3E9,8,6C,5C,7,0,0,0,0,0,0.12219,R
0,C9,8,17,5C,7,0,0,0,0,0,0.12979,R
0,191,8,0,0,0,0,0,0,0,0,0.12996,R
0,199,8,0,0,0,0,0,0,0,FF,0.13277,R
0,F9,8,0,0,0,0,0,0,FF,0,0.13303,R
0,C9,8,26,5C,7,0,0,0,0,0,0.13977,R
0,191,8,0,0,0,0,0,0,0,0,0.14003,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.14208,R
0,1C3,8,2C,5C,7,0,0,0,0,0,0.14233,R
0,199,8,0,0,0,0,0,0,0,FF,0.1454,R
0,F9,8,0,0,0,0,0,0,FF,0,0.14566,R
0,19D,8,0,0,0,0,0,FF,FF,0,0.14592,R
0,1F5,8,0,0,0,0,0,FF,0,0,0.14617,R
0,C9,8,3A,5C,7,0,0,0,0,0,0.14976,R
0,191,8,0,0,0,0,0,0,0,0,0.15001,R
0,199,8,0,0,0,0,0,0,0,FF,0.15837,R
0,F9,8,0,0,0,0,0,0,FF,0,0.15863,R
0,C9,8,49,5C,7,0,0,0,0,0,0.15974,R
0,191,8,0,0,0,0,0,0,0,0,0.16,R
0,1A1,8,35,B6,0,0,0,0,0,0,0.16546,R
0,1C3,8,50,5C,7,0,0,0,0,0,0.16563,R
0,C9,8,5D,5C,7,0,0,0,0,0,0.16972,R
0,191,8,0,0,0,0,0,0,0,0,0.16998,R
0,2C3,8,8F,5C,7,0,0,0,0,0,0.17024,R
